SEQN,Gender,Age,Ethnicity,US born,Education,Marital Status,HouseholdSize,AgeUnder6,Age6to18,AgeOver60,HouseholdIncome,IncomePovertyRatio
93786,Male,0,Black,1,,,3,1,1,0,15.0,0.52
94316,Male,0,Black,1,,,5,2,1,0,20.0,0.54
95512,Female,0,White,1,2.0,,6,3,1,0,55.0,1.41
96215,Female,0,Black,1,,,5,1,2,0,25.0,0.68
96438,Male,0,White,1,,,4,2,0,0,35.0,1.24
96717,Male,0,Black,1,1.0,,2,1,0,0,5.0,0.07
97132,Female,0,Asian,1,4.0,,4,1,1,0,93.0,3.59
98534,Male,0,Mexican-American,1,,,3,1,0,0,271.0,5.0
98668,Female,0,White,1,5.0,,4,2,0,0,940.0,3.98
99031,Male,0,Other Hispanic,1,,,5,2,0,0,5.0,0.12
99458,Female,0,Mexican-American,1,3.0,,6,1,2,0,998.0,4.55
100215,Female,0,Other Hispanic,1,4.0,,4,2,0,0,,
100916,Male,0,Mexican-American,1,3.0,,4,1,1,0,,
101167,Male,0,White,1,5.0,,7,1,2,2,385.0,2.69
101457,Female,0,Asian,1,3.0,,7,3,1,0,,
102006,Female,0,White,1,3.0,,4,2,0,0,35.0,0.02
102491,Male,0,Others,1,,,3,1,0,0,35.0,1.49
102594,Male,0,Mexican-American,1,,,7,1,2,0,65.0,1.45
102928,Male,0,Other Hispanic,1,1.0,,3,1,0,0,35.0,1.3
93710,Female,0,White,1,4.0,,3,1,0,0,289.0,4.9
93748,Male,0,Mexican-American,1,5.0,,3,1,0,0,65.0,2.79
93854,Male,0,White,1,,,3,1,0,0,83.0,3.67
93865,Male,0,White,1,,,5,2,1,0,996.0,3.47
93934,Female,0,White,1,1.0,,4,2,0,0,80.0,3.67
93936,Male,0,White,1,5.0,,4,2,0,0,77.0,3.74
93951,Female,0,Black,1,5.0,,5,1,0,0,35.0,1.04
93962,Male,0,White,1,2.0,,3,1,0,0,349.0,5.0
93966,Male,0,White,1,2.0,,7,2,3,0,75.0,1.75
93976,Female,0,Other Hispanic,1,4.0,,7,3,2,0,15.0,0.25
93994,Female,0,Black,1,3.0,,7,1,3,0,10.0,0.13
94072,Male,0,Mexican-American,1,,,4,2,0,0,35.0,1.0
94079,Female,0,Mexican-American,1,,,3,1,0,0,481.0,5.0
94100,Female,0,Other Hispanic,1,1.0,,5,2,0,0,45.0,1.19
94196,Female,0,White,1,,,7,3,2,0,35.0,0.73
94209,Female,0,Other Hispanic,1,,,4,1,0,2,539.0,5.0
94215,Male,0,White,1,4.0,,3,1,0,0,55.0,2.41
94228,Female,0,Mexican-American,1,,,7,3,2,0,35.0,0.5
94315,Female,0,Other Hispanic,1,2.0,,7,1,2,0,95.0,
94333,Male,0,Black,1,,,4,2,0,0,25.0,0.74
94346,Male,0,Other Hispanic,1,5.0,,4,2,0,0,35.0,1.14
94347,Female,0,Others,1,1.0,,6,2,0,1,45.0,1.21
94358,Male,0,White,1,,,4,1,1,0,35.0,1.25
94370,Male,0,Mexican-American,1,,,4,2,0,0,25.0,0.86
94384,Female,0,White,1,5.0,,3,1,0,0,94.0,3.92
94397,Male,0,Black,1,,,3,1,0,0,61.0,
94426,Female,0,Mexican-American,1,,,6,1,2,1,75.0,2.06
94440,Female,0,Others,1,,,5,2,0,0,998.0,4.25
